,player,team,week,opp,loc,res,rush_attempts,rush_yards,yards_per_rush,rush_TD,targets,receptions,rec_yards,yards_per_rec,rec_TD,fantasy_points
560,Mike_Tolbert,CAR,6.0,NO,away,L 38-41,3.0,12.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.2
561,Fitzgerald_Toussaint,PIT,1.0,WAS,away,W 38-16,3.0,6.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.6
562,Fitzgerald_Toussaint,PIT,2.0,CIN,home,W 24-16,1.0,4.0,4.0,0.0,1.0,1.0,9.0,9.0,0.0,1.8
564,Will_Tukuafu,SEA,10.0,ARI,home,L 32-39,2.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,6.2
565,Will_Tukuafu,SEA,13.0,MIN,away,W 38-7,1.0,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.4
566,Will_Tukuafu,SEA,16.0,STL,home,L 17-23,1.0,-5.0,-5.0,0.0,0.0,0.0,0.0,,0.0,-2.5
567,Will_Tukuafu,SEA,17.0,ARI,away,W 36-6,0.0,0.0,,0.0,1.0,1.0,7.0,7.0,1.0,7.2
569,Robert_Turbin,IND,1.0,DET,home,L 35-39,1.0,4.0,4.0,0.0,2.0,2.0,15.0,7.5,0.0,2.9
570,Robert_Turbin,IND,2.0,DEN,away,L 20-34,3.0,10.0,3.3,1.0,1.0,0.0,0.0,,0.0,7.0
571,Robert_Turbin,IND,3.0,SD,home,W 26-22,4.0,9.0,2.3,1.0,0.0,0.0,0.0,,0.0,6.9
572,Robert_Turbin,IND,4.0,JAC,away,L 27-30,1.0,2.0,2.0,0.0,3.0,2.0,3.0,1.5,0.0,1.5
573,Robert_Turbin,IND,6.0,HOU,away,L 23-26,3.0,2.0,0.7,0.0,4.0,4.0,22.0,5.5,0.0,4.4
574,Robert_Turbin,IND,7.0,TEN,away,W 34-26,2.0,3.0,1.5,0.0,1.0,1.0,19.0,19.0,0.0,2.7
576,Shane_Vereen,NYG,1.0,DAL,away,W 20-19,6.0,38.0,6.3,0.0,5.0,3.0,23.0,7.7,0.0,7.6
577,Shane_Vereen,NYG,2.0,NO,home,W 16-13,14.0,42.0,3.0,0.0,3.0,3.0,24.0,8.0,0.0,6.1
578,Shane_Vereen,NYG,3.0,WAS,home,L 27-29,11.0,67.0,6.1,1.0,5.0,2.0,28.0,14.0,0.0,14.5
580,Spencer_Ware,KC,1.0,SD,home,W 33-27,11.0,70.0,6.4,1.0,8.0,7.0,129.0,18.4,0.0,29.4
581,Spencer_Ware,KC,2.0,HOU,away,L 12-19,10.0,57.0,5.7,0.0,3.0,2.0,48.0,24.0,0.0,9.5
582,Spencer_Ware,KC,3.0,NYJ,home,W 24-3,20.0,75.0,3.8,0.0,1.0,1.0,8.0,8.0,0.0,6.8
583,Spencer_Ware,KC,4.0,PIT,away,L 14-43,13.0,82.0,6.3,0.0,5.0,1.0,14.0,14.0,0.0,8.1
584,Spencer_Ware,KC,6.0,OAK,away,W 26-10,24.0,131.0,5.5,1.0,2.0,2.0,32.0,16.0,0.0,23.3
585,Spencer_Ware,KC,7.0,NO,home,W 27-21,17.0,77.0,4.5,0.0,2.0,2.0,54.0,27.0,1.0,20.1
587,DeAndre_Washington,OAK,1.0,NO,away,W 35-34,5.0,14.0,2.8,0.0,1.0,1.0,10.0,10.0,0.0,2.9
588,DeAndre_Washington,OAK,2.0,ATL,home,L 28-35,6.0,46.0,7.7,0.0,1.0,1.0,6.0,6.0,0.0,5.7
589,DeAndre_Washington,OAK,3.0,TEN,away,W 17-10,6.0,57.0,9.5,0.0,1.0,1.0,5.0,5.0,0.0,6.7
590,DeAndre_Washington,OAK,4.0,BAL,away,W 28-27,5.0,30.0,6.0,0.0,3.0,3.0,16.0,5.3,0.0,4.1
591,DeAndre_Washington,OAK,5.0,SD,home,W 34-31,9.0,23.0,2.6,0.0,6.0,5.0,29.0,5.8,0.0,7.7
592,DeAndre_Washington,OAK,6.0,KC,home,L 10-26,10.0,49.0,4.9,0.0,1.0,0.0,0.0,,0.0,4.9
593,DeAndre_Washington,OAK,7.0,JAC,away,W 33-16,5.0,16.0,3.2,0.0,2.0,1.0,6.0,6.0,0.0,2.7
595,Dwayne_Washington,DET,1.0,IND,away,W 39-35,2.0,1.0,0.5,1.0,0.0,0.0,0.0,,0.0,6.1
596,Dwayne_Washington,DET,2.0,TEN,home,L 15-16,4.0,31.0,7.8,0.0,0.0,0.0,0.0,,0.0,3.1
597,Dwayne_Washington,DET,3.0,GB,away,L 27-34,10.0,38.0,3.8,0.0,1.0,1.0,-3.0,-3.0,0.0,4.0
598,Dwayne_Washington,DET,4.0,CHI,away,L 14-17,2.0,6.0,3.0,0.0,1.0,1.0,8.0,8.0,0.0,1.9
599,Derek_Watt,SD,3.0,IND,away,L 22-26,0.0,0.0,,0.0,1.0,1.0,6.0,6.0,0.0,1.1
600,Derek_Watt,SD,5.0,OAK,away,L 31-34,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.2
601,Derek_Watt,SD,6.0,DEN,home,W 21-13,0.0,0.0,,0.0,1.0,1.0,8.0,8.0,0.0,1.3
603,Charcandrick_West,KC,1.0,SD,home,W 33-27,3.0,-1.0,-0.3,0.0,6.0,6.0,24.0,4.0,0.0,5.3
604,Charcandrick_West,KC,2.0,HOU,away,L 12-19,6.0,61.0,10.2,0.0,2.0,1.0,2.0,2.0,0.0,6.8
605,Charcandrick_West,KC,3.0,NYJ,home,W 24-3,3.0,3.0,1.0,0.0,3.0,3.0,8.0,2.7,0.0,2.6
606,Charcandrick_West,KC,6.0,OAK,away,W 26-10,3.0,19.0,6.3,0.0,0.0,0.0,0.0,,0.0,1.9
607,Charcandrick_West,KC,7.0,NO,home,W 27-21,4.0,5.0,1.3,0.0,3.0,1.0,3.0,3.0,0.0,1.3
609,Terrance_West,BAL,1.0,BUF,home,W 13-7,12.0,32.0,2.7,0.0,2.0,2.0,6.0,3.0,0.0,4.8
610,Terrance_West,BAL,2.0,CLE,away,W 25-20,11.0,42.0,3.8,0.0,3.0,1.0,15.0,15.0,0.0,6.2
611,Terrance_West,BAL,3.0,JAC,away,W 19-17,10.0,45.0,4.5,0.0,1.0,1.0,8.0,8.0,0.0,5.8
612,Terrance_West,BAL,4.0,OAK,home,L 27-28,21.0,113.0,5.4,1.0,0.0,0.0,0.0,,0.0,17.3
613,Terrance_West,BAL,5.0,WAS,home,L 10-16,11.0,95.0,8.6,0.0,3.0,2.0,-6.0,-3.0,0.0,9.9
614,Terrance_West,BAL,6.0,NYG,away,L 23-27,23.0,87.0,3.8,2.0,6.0,4.0,36.0,9.0,0.0,26.3
615,Terrance_West,BAL,7.0,NYJ,away,L 16-24,8.0,10.0,1.3,0.0,0.0,0.0,0.0,,0.0,1.0
617,James_White,NE,1.0,ARI,away,W 23-21,1.0,4.0,4.0,0.0,7.0,5.0,40.0,8.0,0.0,6.9
618,James_White,NE,2.0,MIA,home,W 31-24,4.0,19.0,4.8,0.0,4.0,2.0,10.0,5.0,0.0,3.9
619,James_White,NE,3.0,HOU,home,W 27-0,3.0,12.0,4.0,0.0,2.0,1.0,2.0,2.0,0.0,1.9
620,James_White,NE,4.0,BUF,home,L 0-16,4.0,12.0,3.0,0.0,5.0,5.0,50.0,10.0,0.0,8.7
621,James_White,NE,5.0,CLE,away,W 33-13,5.0,26.0,5.2,0.0,6.0,4.0,63.0,15.8,0.0,10.9
622,James_White,NE,6.0,CIN,home,W 35-17,7.0,19.0,2.7,0.0,9.0,8.0,47.0,5.9,2.0,22.6
623,James_White,NE,7.0,PIT,away,W 27-16,0.0,0.0,,0.0,5.0,2.0,32.0,16.0,1.0,10.2
625,Fozzy_Whittaker,CAR,1.0,DEN,away,L 20-21,3.0,13.0,4.3,0.0,1.0,1.0,4.0,4.0,0.0,2.2
626,Fozzy_Whittaker,CAR,2.0,SF,home,W 46-27,16.0,100.0,6.3,0.0,4.0,3.0,31.0,10.3,0.0,12.6
627,Fozzy_Whittaker,CAR,3.0,MIN,home,L 10-22,5.0,22.0,4.4,0.0,6.0,5.0,34.0,6.8,0.0,8.1
628,Fozzy_Whittaker,CAR,4.0,ATL,away,L 33-48,3.0,6.0,2.0,0.0,9.0,9.0,86.0,9.6,0.0,13.7
629,Fozzy_Whittaker,CAR,5.0,TB,home,L 14-17,5.0,45.0,9.0,0.0,1.0,1.0,9.0,9.0,0.0,5.9
630,Fozzy_Whittaker,CAR,6.0,NO,away,L 38-41,1.0,-1.0,-1.0,0.0,2.0,1.0,4.0,4.0,0.0,0.8
632,Damien_Williams,MIA,1.0,SEA,away,L 10-12,2.0,9.0,4.5,0.0,2.0,1.0,29.0,29.0,0.0,4.3
