,player,team,week,opp,loc,res,targets,receptions,rec_yards,yards_per_rec,rec_TD,fantasy_points
361,Levine_Toilolo,ATL,7.0,SD,home,L 30-33,1.0,1.0,5.0,5.0,0.0,1.0
362,Will_Tye,NYG,1.0,DAL,away,W 20-19,3.0,3.0,16.0,5.3,0.0,3.1
363,Will_Tye,NYG,2.0,NO,home,W 16-13,3.0,2.0,10.0,5.0,0.0,2.0
364,Will_Tye,NYG,3.0,WAS,home,L 27-29,5.0,3.0,14.0,4.7,0.0,2.9
365,Will_Tye,NYG,4.0,MIN,away,L 10-24,6.0,4.0,43.0,10.8,0.0,6.3
366,Will_Tye,NYG,5.0,GB,away,L 16-23,3.0,2.0,37.0,18.5,0.0,4.7
367,Will_Tye,NYG,6.0,BAL,home,W 27-23,2.0,2.0,15.0,7.5,0.0,2.5
368,Will_Tye,NYG,7.0,LAR,away,W 17-10,3.0,2.0,14.0,7.0,0.0,2.4
370,C.J._Uzomah,CIN,13.0,CLE,away,W 37-3,1.0,1.0,4.0,4.0,0.0,0.9
371,Clive_Walford,OAK,1.0,NO,away,W 35-34,5.0,3.0,25.0,8.3,0.0,4.0
372,Clive_Walford,OAK,2.0,ATL,home,L 28-35,7.0,6.0,50.0,8.3,1.0,14.0
373,Clive_Walford,OAK,3.0,TEN,away,W 17-10,3.0,2.0,27.0,13.5,0.0,3.7
374,Clive_Walford,OAK,4.0,BAL,away,W 28-27,4.0,2.0,23.0,11.5,0.0,3.3
375,Clive_Walford,OAK,6.0,KC,home,L 10-26,2.0,2.0,25.0,12.5,0.0,3.5
376,Clive_Walford,OAK,7.0,JAC,away,W 33-16,2.0,1.0,5.0,5.0,0.0,1.0
378,Delanie_Walker,TEN,1.0,MIN,home,L 16-25,5.0,3.0,42.0,14.0,0.0,5.7
379,Delanie_Walker,TEN,2.0,DET,away,W 16-15,6.0,6.0,83.0,13.8,1.0,17.3
380,Delanie_Walker,TEN,4.0,HOU,away,L 20-27,8.0,2.0,34.0,17.0,0.0,4.4
381,Delanie_Walker,TEN,5.0,MIA,away,W 30-17,8.0,5.0,66.0,13.2,1.0,15.1
382,Delanie_Walker,TEN,6.0,CLE,home,W 28-26,2.0,1.0,21.0,21.0,0.0,2.6
383,Delanie_Walker,TEN,7.0,IND,home,L 26-34,8.0,7.0,84.0,12.0,1.0,17.9
384,Delanie_Walker,TEN,8.0,JAC,home,W 36-22,5.0,4.0,75.0,18.8,0.0,9.8
386,Cole_Wick,DET,1.0,IND,away,W 39-35,1.0,1.0,5.0,5.0,0.0,1.0
387,Cole_Wick,DET,3.0,GB,away,L 27-34,1.0,1.0,13.0,13.0,0.0,1.8
388,Cole_Wick,DET,4.0,CHI,away,L 14-17,1.0,0.0,0.0,,0.0,0.0
389,Cole_Wick,DET,5.0,PHI,home,W 24-23,0.0,0.0,0.0,,0.0,0.0
391,Luke_Willson,SEA,1.0,MIA,home,W 12-10,4.0,2.0,26.0,13.0,0.0,3.6
392,Luke_Willson,SEA,2.0,LAR,away,L 3-9,1.0,1.0,6.0,6.0,0.0,1.1
393,Luke_Willson,SEA,3.0,SF,home,W 37-18,3.0,2.0,9.0,4.5,0.0,1.9
394,Luke_Willson,SEA,4.0,NYJ,away,W 27-17,3.0,0.0,0.0,,0.0,0.0
395,Luke_Willson,SEA,6.0,ATL,home,W 26-24,1.0,1.0,9.0,9.0,0.0,1.4
396,Jason_Witten,DAL,1.0,NYG,home,L 19-20,14.0,9.0,66.0,7.3,0.0,11.1
397,Jason_Witten,DAL,2.0,WAS,away,W 27-23,4.0,3.0,51.0,17.0,0.0,6.6
398,Jason_Witten,DAL,3.0,CHI,home,W 31-17,2.0,2.0,25.0,12.5,0.0,3.5
399,Jason_Witten,DAL,4.0,SF,away,W 24-17,9.0,7.0,47.0,6.7,0.0,8.2
400,Jason_Witten,DAL,5.0,CIN,home,W 28-14,5.0,3.0,43.0,14.3,0.0,5.8
401,Jason_Witten,DAL,6.0,GB,away,W 30-16,8.0,4.0,42.0,10.5,0.0,6.2
